,name,link,upc,price,rating,reviews
113,"Pine-Sol Multi-Surface Cleaner Lemon Fresh, Lemon Fresh (28 fl oz )","http://www.walgreens.com/store/c/pine-sol-multi-surface-cleaner-lemon-fresh,-lemon-fresh/ID=prod6018481-product", 04129440187,,4.8,9363
114,Lysol Max Cover Disinfectant Spray Garden After Rain (12.5 oz ),http://www.walgreens.com/store/c/lysol-max-cover-disinfectant-spray-garden-after-rain/ID=prod6335068-product, 01920095590,7.79,,
115,Nice! Disinfectant Clean Citrus (12.5 oz ),http://www.walgreens.com/store/c/nice!-disinfectant-clean-citrus/ID=prod6291667-product, 04902286062,4.99,5.0,1
116,"Clorox Disinfecting Wipes, Bleach Free Cleaning Wipes Fresh, Fresh Scent (75 ea )",http://www.walgreens.com/store/c/clorox-disinfecting-wipes-bleach-free-cleaning-wipes-fresh-fresh-scent/ID=prod6179473-product, 04460001656,6.29,4.9,2015
117,Easy-Off Heavy Duty Oven Cleaner Spray Fresh (14.5 oz ),http://www.walgreens.com/store/c/easy-off-heavy-duty-oven-cleaner-spray-fresh/ID=prod6210260-product, 06233887979,6.29,,
118,Nice! Heavy Duty Erasers (4 ea ),http://www.walgreens.com/store/c/nice!-heavy-duty-erasers/ID=prod6334579-product, 04902290652,3.99,4.3,3
119,Clorox Liquid-Plumr Penetrex Gel Clog Remover (17 oz. ),http://www.walgreens.com/store/c/clorox-liquid-plumr-penetrex-gel-clog-remover/ID=prod6090623-product, 04460030548,6.29,4.5,283
120,Febreze ONE Fabric & Air Refresher Mist Bamboo (10.1 fl oz ),http://www.walgreens.com/store/c/febreze-one-fabric-&-air-refresher-mist-bamboo/ID=prod6381421-product, 03700098388,,4.7,11683
121,"Sun Liquid Laundry Detergent Tropical Breeze, 30 Loads (45.4 oz )","http://www.walgreens.com/store/c/sun-liquid-laundry-detergent-tropical-breeze,-30-loads/ID=prod6300616-product", 07261370800,,,
122,Lysol Disinfecting Wipes Lemon & Lime Blossom (80 ea ),http://www.walgreens.com/store/c/lysol-disinfecting-wipes-lemon-&-lime-blossom/ID=prod6146619-product, 01920080296,9.99,4.3,140
123,"Sun Liquid Laundry Detergent Summer Escape, 30 Loads (45.4 oz )","http://www.walgreens.com/store/c/sun-liquid-laundry-detergent-summer-escape,-30-loads/ID=prod6300615-product", 07261346230,,,
124,Clorox Liquid-Plumr Pro-Strength Hair Clog Eliminator (16 oz. ),http://www.walgreens.com/store/c/clorox-liquid-plumr-pro-strength-hair-clog-eliminator/ID=prod6210261-product, 04460031019,6.29,4.6,220
125,Seventh Generation Dishwasher Gel Lemon (42 oz ),http://www.walgreens.com/store/c/seventh-generation-dishwasher-gel-lemon/ID=prod6146754-product, 73291322171,4.39,4.2,226
126,Nice! Disinfectant Spray Linen (19 oz ),http://www.walgreens.com/store/c/nice!-disinfectant-spray-linen/ID=prod6393352-product, 04902211139,5.99,5.0,1
127,Lysol  Early Morning Breeze (19 oz ),http://www.walgreens.com/store/c/lysol--early-morning-breeze/ID=prod4185765-product, 01920080834,8.99,3.8,144
128,CLR Calcium Lime Rust Cleaner (28 fl oz ),http://www.walgreens.com/store/c/clr-calcium-lime-rust-cleaner/ID=prod1765587-product, 07829131082,7.49,3.9,39
129,Nice! Microfiber Cleaning Cloths (3 ea ),http://www.walgreens.com/store/c/nice!-microfiber-cleaning-cloths/ID=prod6338613-product, 04902291855,,5.0,1
130,Goo Gone Citrus Power Liquid Adhesive Remover (8 fl oz ),http://www.walgreens.com/store/c/goo-gone-citrus-power-liquid-adhesive-remover/ID=prod6035192-product, 07004877112,6.99,4.8,4
131,CLR Mold & Mildew Stain Remover (32 OZ ),http://www.walgreens.com/store/c/clr-mold-%26-mildew-stain-remover/ID=prod6367448-product, 07829151712,7.79,3.0,4
132,Nice! Liquid Pro Drain Opener (32 oz. ),http://www.walgreens.com/store/c/nice!-liquid-pro-drain-opener/ID=prod6286540-product, 04902284845,5.49,3.0,2
133,OxiClean Stain Remover (28.32 oz ),http://www.walgreens.com/store/c/oxiclean-stain-remover/ID=prod6338655-product, 75703795086,6.99,,
134,Quick Shine Multi-Surface Finish (27 fl oz ),http://www.walgreens.com/store/c/quick-shine-multi-surface-finish/ID=prod2402572-product, 07878677777,9.99,4.4,55
135,Tarn-X Tarnish Remover (12 oz ),http://www.walgreens.com/store/c/tarn-x-tarnish-remover/ID=prod3801-product, 07829116911,7.79,3.2,6
136,Lysol Max Cover Disinfecting Mist Lavender Field (15 oz ),http://www.walgreens.com/store/c/lysol-max-cover-disinfecting-mist-lavender-field/ID=prod6349692-product, 01920094121,8.99,5.0,1
137,Quick Shine Hardwood Floor Luster (27 oz ),http://www.walgreens.com/store/c/quick-shine-hardwood-floor-luster/ID=prod6222627-product, 07878677773,10.99,3.7,3
138,Falcon Compressed Gas Duster (10 oz ),http://www.walgreens.com/store/c/falcon-compressed-gas-duster/ID=prod6257766-product, 04902281809,10.49,3.0,2
139,Lysol Disinfectant Spray (19 fl oz ),http://www.walgreens.com/store/c/lysol-disinfectant-spray/ID=prod6397677-product, 01920087870,8.99,3.8,139
140,Quick Shine Multi-Surface Cleaner (27 fl oz ),http://www.walgreens.com/store/c/quick-shine-multi-surface-cleaner/ID=prod6142843-product, 07878611151,6.29,3.0,4
