href,name,upc,currency,price,customer_rating,number_of_reviews,seller,ingredients
http://walmart.com/ip/Scotch-Brite-Shower-and-Tub-Scrubber-feat-Extendable-Handle-Non-Scratch/13281243,"Scotch-Brite Shower and Tub Scrubber feat. Extendable Handle, Non-Scratch",021200978562,$,6.46,3.8,319,Walmart,
http://walmart.com/ip/Pledge-Multisurface-Cleaner-Trigger-Fresh-Citrus-16-fl-oz/26432086,"Pledge Multisurface Cleaner Trigger, Fresh Citrus, 16 fl oz",046500214592,$,3.93,4.5,42,Walmart,"Water, Ethyl Alcohol, Lauryl Polyglucose, Methylisothiazolinone, Fragrance, Sodium Citrate, Citric Acid. SCJ Formula # 35*21022"
http://walmart.com/ip/Resolve-Carpet-Cleaner-Spray-Spot-Stain-Remover-22oz/11027230,"Resolve Carpet Cleaner Spray Spot & Stain Remover, 22oz",019200006019,$,3.94,4.3,51,Walmart,
http://walmart.com/ip/Ivory-Ultra-Concentrated-Liquid-Dish-Soap-Classic-Scent-24-Fl-Oz/14711750,"Ivory Ultra Concentrated Liquid Dish Soap, Classic Scent, 24 Fl Oz",037000255741,$,2.67,4.7,148,Walmart,['Contains Biodegradable Surfactants. Contains No Phosphate']
http://walmart.com/ip/Finish-Quantum-84ct-with-Activblu-Technology-Dishwasher-Detergent-Tabs-Ultimate-Clean-and-Shine/395342034,"Finish Quantum, 84ct, with Activblu Technology, Dishwasher Detergent Tabs, Ultimate Clean and Shine",051700206469,$,6.84,4.7,8491,,
http://walmart.com/ip/Simple-Green-All-Purpose-Cleaner-32-fl-oz/43977497,"Simple Green All-Purpose Cleaner, 32 fl oz",043318000713,$,1.97,4.2,13,Walmart,"Water; Ethoxylated Alcohol; Sodium Citrate; Tetrasodium N,N-bis(carboxymethyl)-L-glutamate; Sodium Carbonate; Citric Acid; Isothiazolinone; Fragrance; Colorant"
http://walmart.com/ip/Orange-Glo-2-In-1-Clean-Polish-Orange-Scent-Wood-Furniture-16-fl-oz-Spray/11028055,Orange Glo® 2-In-1 Clean & Polish Orange Scent Wood Furniture 16 fl. oz Spray,757037119952,$,3.78,4.8,80,Walmart,
http://walmart.com/ip/Old-English-Lemon-Oil-Furniture-Polish-16oz-Bottle/13424637,"Old English Lemon Oil Furniture Polish, 16oz Bottle",062338073255,$,3.47,4.8,39,Walmart,
http://walmart.com/ip/Mr-Clean-Magic-Eraser-Extra-Durable-Cleaning-Pads-with-Durafoam-7-Ct/35756520,"Mr. Clean Magic Eraser Extra Durable Cleaning Pads with Durafoam, 7 Ct",037000905196,$,8.47,4.2,457,Walmart,
http://walmart.com/ip/Cascade-Platinum-Dishwasher-Rinse-Aid-30-5-Fl-Oz/49580963,"Cascade Platinum Dishwasher Rinse Aid, 30.5 Fl Oz",037000896296,$,4.97,4.5,523,,['Contains nonionic surfactants.']
http://walmart.com/ip/Glisten-Disposer-Care-Cleaner-Lemon-Scent-4-uses/19204413,"Glisten Disposer Care Cleaner, Lemon Scent, 4 uses",076168001517,$,2.92,4.5,50,Walmart,"Contains Sodium Dichloro-S-Triazinetrione, Organic Acid And Surfactants."
http://walmart.com/ip/Scrub-Daddy-Dual-sided-Sponge-Scrubber-4-Count/47659565,"Scrub Daddy, Dual-sided Sponge Scrubber, 4 Count",859547004190,$,4.68,4.2,30,Walmart,
http://walmart.com/ip/Seventh-Generation-Free-Clear-Dishwasher-Detergent-Powder-75-oz/14914756,"Seventh Generation Free & Clear Dishwasher Detergent Powder, 75 oz",732913221516,$,6.49,4.3,145,Walmart,"What We Put Inside: Sodium Chloride, Sodium Sulfate, Sodium Carbonate, Citric Acid, Sodium Percarbonate, PPG-10-Laureth-7, Sodium Polyaspartate, Sodium Silicate, Protease and Amylase."
http://walmart.com/ip/2-Pack-Glisten-Dishwasher-Magic-Machine-Cleaner-and-Disinfectant-Lemon-12-Fl-Oz/35326672,"(2 Pack) Glisten Dishwasher Magic Machine Cleaner and Disinfectant, Lemon, 12 Fl Oz",076168001647,$,3.42,4.6,168,,
http://walmart.com/ip/Palmolive-Eco-Gel-Dishwasher-Detergent-Lemon-Splash-75-fluid-ounce/12443214,"Palmolive Eco Gel Dishwasher Detergent, Lemon Splash - 75 fluid ounce",035000427069,$,2.97,4,207,Walmart,
http://walmart.com/ip/Fabuloso-All-Purpose-Cleaner-Lavender-169-fl-oz/307284460,"Fabuloso All Purpose Cleaner, Lavender - 169 fl oz",035000470669,$,12.67,4.8,431,Walmart,"Water, Sodium Dodecylbenzenesulfonate, Fragrance, C9-11 Pareth-8, Sodium C12-15 Pareth Sulfate or Sodium Laureth Sulfate, Glutaral, Citric Acid, Colorants."
http://walmart.com/ip/Lysol-Disinfecting-Wipes-Brand-New-Day-Mango-Hibiscus-Wet-Wipes-80-Ct/109177674,"Lysol Disinfecting Wipes, Brand New Day Mango Hibiscus Wet Wipes, 80 Ct",019200971812,$,4.16,4.4,79,Walmart,"Active Ingredients:Alkyl (50% C14, 40% C12, 10% C16)Dimethyl Benzyl Ammonium Chloride0.26%Other Ingredients: 99.74%TOTAL100.00%"
http://walmart.com/ip/Mean-Green-Super-Strength-Cleaner-Degreaser-40-oz/19853412,"Mean Green Super Strength Cleaner & Degreaser, 40 oz",720547001406,$,2.27,4.7,84,Walmart,"Contains Water, Glycol Ether Solvent, Detergents and Alkaline Builders, Biodegradable Cleaning Agents"
http://walmart.com/ip/Scrubbing-Bubbles-Disinfectant-Bathroom-Grime-Fighter-Aerosol-Rainshower-20-oz-2-count/166621399,"Scrubbing Bubbles Disinfectant Bathroom Grime Fighter Aerosol, Rainshower, 20 oz, 2 count",025700713630,$,5.98,4.7,20,Walmart,"Water, Chelator, Propellant, Cleaning Agents, pH Adjuster, Fragrance, SCJ Formula #35*33864"
